text_a,text_b,label
Conceptually cream skimming has two basic dimensions - product and geography.,Product and geography are what make cream skimming work. ,neutral
you know during the season and i guess at at your level uh you lose them to the next level if if they decide to recall the the parent team the Braves decide to call to recall a guy from triple A then a double A guy goes up to replace him and a single A guy goes up to replace him,You lose the things to the following level if the people recall.,entailment
One of our number will carry out your instructions minutely.,A member of my team will execute your orders with immense precision.,entailment
How do you know? All this is their information again.,This information belongs to them.,entailment
yeah i tell you what though if you go price some of those tennis shoes i can see why now you know they're getting up in the hundred dollar range,The tennis shoes have a range of prices.,neutral
my walkman broke so i'm upset now i just have to turn the stereo up real loud,I'm upset that my walkman broke and now I have to turn the stereo up really loud.,entailment
"But a few Christian mosaics survive above the apse is the Virgin with the infant Jesus, with the Archangel Gabriel to the right (his companion Michael, to the left, has vanished save for a few feathers from his wings).",Most of the Christian mosaics were destroyed by Muslims.  ,neutral
(Read  for Slate 's take on Jackson's findings.),Slate had an opinion on Jackson's findings.,entailment
Gays and lesbians.,Heterosexuals.,contradiction
"At the end of Rue des Francs-Bourgeois is what many consider to be the city's most handsome residential square, the Place des Vosges, with its stone and red brick facades.",Place des Vosges is constructed entirely of gray marble.,contradiction
"I burst through a set of cabin doors, and fell to the ground-",I burst through the doors and fell down.,entailment
Fun for adults and children.,Fun for only children.,contradiction
It's not that the questions they asked weren't interesting or legitimate (though most did fall under the category of already asked and answered).,All of the questions were interesting according to a focus group consulted on the subject.,neutral
"Thebes held onto power until the 12th Dynasty, when its first king, Amenemhet Iwho reigned between 1980 1951 b.c. established a capital near Memphis.",The capital near Memphis lasted only half a century before its inhabitants abandoned it for the next capital. ,neutral
"I don't mean to be glib about your concerns, but if I were you, I might be more concerned about the near-term rate implications of this $1.",I am concerned more about your issues than the near-term rate implications.,contradiction
Issues in Data Synthesis.,Problems in data synthesis.,entailment
well you see that on television also,"You can see that on television, as well.",entailment
Vrenna and I both fought him and he nearly took us.,Neither Vrenna nor myself have ever fought him.,contradiction
